ID,Text,Comment
eMka.Minimap.Settings.BlockObjectColor,Objetos,
eMka.Minimap.Settings.BuildingColor,Edificios,
eMka.Minimap.Settings.ChunkSize,Tamaño del chunk,
eMka.Minimap.Settings.ChunkSizeTooltip,"El tamaño de los fragmentos en los que se divide el minimapa para su renderización.
Los valores más bajos harán que el minimapa se renderice más lentamente, pero pueden ayudar con los problemas de rendimiento",
eMka.Minimap.Settings.Colors,Colores,
eMka.Minimap.Settings.DeadPlantColor,Plantas muertas,
eMka.Minimap.Settings.DeadTreeColor,Arboles muertos,
eMka.Minimap.Settings.DeepBadwaterColor,malamarea profunda,
eMka.Minimap.Settings.DeepWaterColor,agua profunda,
eMka.Minimap.Settings.DisableSize,No mostrar minimapa para mapas con lados menores a,
eMka.Minimap.Settings.GeneralSettings,General,
eMka.Minimap.Settings.HighestGrassColor,Hierba alta,
eMka.Minimap.Settings.HighestTerrainColor,Terreno alto,
eMka.Minimap.Settings.LowestGrassColor,Hierba baja,
eMka.Minimap.Settings.LowestTerrainColor,Terreno bajo,
eMka.Minimap.Settings.MinimapRotation,Rotar minimapa,
eMka.Minimap.Settings.MinimapRotationHeader,Rotación del minimapa,
eMka.Minimap.Settings.PathColor,caminos,
eMka.Minimap.Settings.PlantColor,plantas,
eMka.Minimap.Settings.ShallowBadwaterColor,malamarea poco profunda,
eMka.Minimap.Settings.ShallowWaterColor,Agua poco profunda,
eMka.Minimap.Settings.TreeColor,Arbol,
eMka.Minimap.Settings.WaterPlantColor,plantas de agua,
