ID,Text,Comment
eMka.Minimap.Settings.BlockObjectColor,Obiekt,
eMka.Minimap.Settings.BuildingColor,Budynek,
eMka.Minimap.Settings.ChunkSize,Rozmiar wycinka,
eMka.Minimap.Settings.ChunkSizeTooltip,"Rozmiar wycinków, na które podzielona jest minimapa podczas renderowania.
Mniejsze wartości spowodują wolniejsze renderowanie minimapy, ale mogą pomóc w problemach z wydajnością.",
eMka.Minimap.Settings.Colors,Kolory,
eMka.Minimap.Settings.DeadPlantColor,Martwa roślina,
eMka.Minimap.Settings.DeadTreeColor,Martwe drzewo,
eMka.Minimap.Settings.DeepBadwaterColor,Głęboka złowoda,
eMka.Minimap.Settings.DeepWaterColor,Głęboka woda,
eMka.Minimap.Settings.DisableSize,Nie pokazuj minimapy dla map o bokach mniejszych niż,
eMka.Minimap.Settings.HighestGrassColor,Wysoka trawa,
eMka.Minimap.Settings.HighestTerrainColor,Wysoki teren,
eMka.Minimap.Settings.LowestGrassColor,Niska trawa,
eMka.Minimap.Settings.LowestTerrainColor,Niski teren,
eMka.Minimap.Settings.PathColor,Ścieżka,
eMka.Minimap.Settings.PlantColor,Roślina,
eMka.Minimap.Settings.ShallowBadwaterColor,Płytka złowoda,
eMka.Minimap.Settings.ShallowWaterColor,Płytka woda,
eMka.Minimap.Settings.TreeColor,Drzewo,
eMka.Minimap.Settings.WaterPlantColor,Wodna roślina,
