ID,Text,Comment
eMka.Minimap.Settings.BlockObjectColor,Об'єкт,
eMka.Minimap.Settings.BuildingColor,Будівля,
eMka.Minimap.Settings.ChunkSize,Розмір сегмента,
eMka.Minimap.Settings.ChunkSizeTooltip,"Розмір сегментів, на які поділено мінімапу для відтворення.
Менші значення сповільнюють відтворення мінімапи, але можуть покращити продуктивність.",
eMka.Minimap.Settings.Colors,Кольори,
eMka.Minimap.Settings.DeadPlantColor,Мертва рослина,
eMka.Minimap.Settings.DeadTreeColor,Мертве дерево,
eMka.Minimap.Settings.DeepBadwaterColor,Глибока зловода,
eMka.Minimap.Settings.DeepWaterColor,Глибока вода,
eMka.Minimap.Settings.DisableSize,"Не показувати мінімапу для мап, розмір сторін яких менший за",
eMka.Minimap.Settings.GeneralSettings,Загальні,
eMka.Minimap.Settings.HighestGrassColor,Найвища трава,
eMka.Minimap.Settings.HighestTerrainColor,Найвища місцевість,
eMka.Minimap.Settings.LowestGrassColor,Найнижча трава,
eMka.Minimap.Settings.LowestTerrainColor,Найнижча місцевість,
eMka.Minimap.Settings.MinimapRotation,Обертати мінімапу,
eMka.Minimap.Settings.MinimapRotationHeader,Обертання мінімапи,
eMka.Minimap.Settings.PathColor,Шлях,
eMka.Minimap.Settings.PlantColor,Рослина,
eMka.Minimap.Settings.ShallowBadwaterColor,Мілка зловода,
eMka.Minimap.Settings.ShallowWaterColor,Мілка вода,
eMka.Minimap.Settings.TreeColor,Дерево,
eMka.Minimap.Settings.WaterPlantColor,Водна рослина,
