ID,Text,Comment
Riverborne.DispatchItem.Paused,Paused,
Riverborne.EditDispatchPanel.DefaultDispatchName,Dispatch #,
Riverborne.EditDispatchPanel.Interval,"Interval: {0}",
Riverborne.EditDispatchPanel.TotalWeight,"Total weight: {0} kg / {1} kg",
Riverborne.EditDispatchPanel.Weight,{0} kg ×,
Riverborne.Raft.DeletePrompt,Are you sure you want to delete this raft?,
Riverborne.Raft.Description,Transports goods using water currents.,
Riverborne.Raft.DisplayName,Raft,
Riverborne.Raft.FlavorDescription,Go with the flow.,
Riverborne.RaftDock.Description,A logistics dock that handles incoming and outgoing rafts.,
Riverborne.RaftDock.Dispatches,Dispatches:,
Riverborne.RaftDock.DisplayName,Raft Dock,
Riverborne.RaftDock.FlavorDescription,The water decides the schedule.,
Riverborne.RaftDock.RemoveDispatchConfirmation,Are you sure you want to delete this dispatch?,
Riverborne.RaftGuide.Description,Helps direct rafts along the flow of water.,
Riverborne.RaftGuide.DisplayName,Raft Guide,
Riverborne.RaftGuide.FlavorDescription,This way.,
Riverborne.DiagonalRaftGuide.DisplayName,Diagonal Raft Guide,
Riverborne.DiagonalRaftGuide.FlavorDescription,Not this way.,
Riverborne.RaftRamp.Description,Launches rafts over obstacles.,
Riverborne.RaftRamp.DisplayName,Raft Ramp,
Riverborne.RaftRamp.FlavorDescription,Sometimes you just have to go over it.,
