ID,Text,Comment
Riverborne.DispatchItem.Paused,Призупинено,
Riverborne.EditDispatchPanel.DefaultDispatchName,Відправлення №,
Riverborne.EditDispatchPanel.Interval,"Інтервал: {0}",
Riverborne.EditDispatchPanel.TotalWeight,"Загальна вага: {0} кг / {1} кг",
Riverborne.EditDispatchPanel.Weight,{0} кг ×,
Riverborne.Raft.DeletePrompt,"Ви впевнені, що хочете видалити цей пліт?",
Riverborne.Raft.Description,Транспортує товари за течією води.,
Riverborne.Raft.DisplayName,Пліт,
Riverborne.Raft.FlavorDescription,Пливи за течією.,
Riverborne.RaftDock.Description,Логістичний причал для приймання та відправлення плотів.,
Riverborne.RaftDock.Dispatches,Відправлення:,
Riverborne.RaftDock.DisplayName,Причал для плотів,
Riverborne.RaftDock.FlavorDescription,Вода визначає розклад.,
Riverborne.RaftDock.RemoveDispatchConfirmation,"Ви впевнені, що хочете видалити це відправлення?",
Riverborne.RaftGuide.Description,Допомагає спрямовувати плоти за течією води.,
Riverborne.RaftGuide.DisplayName,Напрямна для плотів,
Riverborne.RaftGuide.FlavorDescription,Сюди.,
Riverborne.DiagonalRaftGuide.DisplayName,Діагональна напрямна для плотів,
Riverborne.DiagonalRaftGuide.FlavorDescription,Не сюди.,
Riverborne.RaftRamp.Description,Запускає плоти через перешкоди.,
Riverborne.RaftRamp.DisplayName,Трамплін для плотів,
Riverborne.RaftRamp.FlavorDescription,Іноді доводиться рухатися поверх перешкод.,
